[INFO 10:42:26 AM] alexdauenhauer.catppuccin-noctis-icons activated
[INFO 10:42:26 AM] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 10:42:26 AM] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 10:42:26 AM] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 10:42:27 AM] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 10:42:27 AM] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 10:42:27 AM] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 10:42:33 AM] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 10:42:33 AM] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 10:42:33 AM] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 10:42:35 AM] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 10:42:35 AM] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 10:42:35 AM] catppuccin-noctis-icons.files.associations changed, updating to undefined
